Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
Week 3 | Object-oriented programming,Follow the [instructions](src/comp1110/lab3/README.md#1-bucket) in the lab to create a very simple class that represents a bucket.,13,https://gitlab.cecs.anu.edu.au/comp1110/comp1110-labs/-/issues/23,Open,Fabian Muehlboeck,u1125208,,,No,No,,4/03/2024 14:13,4/03/2024 14:13,,,,,0,0
Week 3 (Monday) | Assignment group formation,"If you are in a Monday lab, meet with your group to plan the major assignment.",14,https://gitlab.cecs.anu.edu.au/comp1110/comp1110-labs/-/issues/24,Open,Fabian Muehlboeck,u1125208,,,No,No,,4/03/2024 14:14,4/03/2024 14:14,,,,,0,0
