Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
Week 5 | GitLab group work,Follow the lab [instructions](https://gitlab.cecs.anu.edu.au/comp1110/comp1110-labs/blob/main/src/comp1110/lab5/README.md#2-git-groupwork) to complete the group exercise on using git.,15,https://gitlab.cecs.anu.edu.au/comp1110/comp1110-labs/-/issues/25,Open,Fabian Muehlboeck,u1125208,,,No,No,,18/03/2024 14:55,18/03/2024 14:55,,,,,0,0
Week 5 | Stack trace and debugging,Follow the [instructions](https://gitlab.cecs.anu.edu.au/comp1110/comp1110-labs/blob/main/src/comp1110/lab5/README.md#3-the-stack-trace-and-a-debugging-exercise) to learn about stack traces and debugging.,16,https://gitlab.cecs.anu.edu.au/comp1110/comp1110-labs/-/issues/26,Open,Fabian Muehlboeck,u1125208,,,No,No,,18/03/2024 14:56,18/03/2024 14:56,,,,,0,0
